name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Hua Xia (CN),CN,China,2021,575230823281,46523197679,87839798831,96035276066,11470008768253,714398238327,31582136883,108272200481,45328227770,1351133475,2178687091,4309422218
ICBC (CN),CN,China,2021,5220614017909,290224964676,409745617519,706172629621,68624166363674,2777173737061,315904502445,1107256858104,109049964928,21288448463,290786426419,287674930453
Industrial Bank (CN),CN,China,2021,1415783299274,168113844824,266829896295,218446438839,28407760418113,1962093323796,115004268106,949507676614,46792062884,5397862321,19416831023,31442168434
ING Bank (NL),NL,Netherlands,2021,954982407740,131824078710,123637307323,169448435000,25763310260984,269161810000,40674309367,4091419716323,28117323761,6228474000,871151498527,860961242448
Intesa (IT),IT,Italy,2021,1143188756118,250783423228,73196381875,142739724459,9832564513681,669251026796,29583594128,2927004311153,5206313253,16259804000,244633371780,155103837866
JP Morgan (US),US,USA,2021,4080687620941,358914886062,447299134684,731138089269,437515605636593,30025446756275,678212078327,42353053147254,183642945415,15431749954,905466183899,811754370383
Kookmin (KR),KR,Korea,2021,566109407375,65902588586,62124649444,74684326953,410475452067,323573210832,27981923042,415311172854,19654836149,10657898937,23028442362,17862023344
Lloyds (GB),GB,United Kingdom,2021,1108087624706,68705252751,68253292323,151211500889,12808101155545,26458439511,18930274831,6274390538369,13905598951,16206502590,106631122931,88905574302
Mizuho (JP),JP,Japan,2021,1937919236165,128285706226,143657550589,259761221473,52625111378094,843185682741,135552244107,12612151938885,81814101594,5261002854,499741593390,376940908190
Morgan Stanley (US),US,USA,2021,1325530902199,203872505716,47347695562,378849549666,12674993818098,3378896344312,425352286726,27400708102148,103988168803,11202542821,349088822140,323646477096
MUFG (JP),JP,Japan,2021,3060627030263,238968913572,235533935290,289306695072,86497405040036,2796219407744,119024271538,12578566323288,160048828558,9704624918,803839400065,777722772153
National Australia Bank (AU),AU,Australia,2021,675610975518,69007881711,48456633192,194462520105,13194319571845,376377059120,1576383821,5020701894370,14152594920,959079629,158202901867,206000490555
Natwest (GB),GB,United Kingdom,2021,893038986771,76219831465,116640881580,105906884607,28251990922754,547313990432,58260341776,14288438373957,6220545531,2442043128,256490693511,186583043699
Nomura (JP),JP,Japan,2021,413211684795,73546884534,74377452423,57401259024,25287043712746,367125904912,113455813049,23220739503708,36388523991,7958008976,232693331101,204914756566
