name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Capital One (US),US,USA,2019,401127641290,27414196192,2782844045,113495683645,799326961056,8011,3508360335,225064623477,7717532491,520406801,10013352324,940871462
China Construction (CN),CN,China,2019,3414742066598,161943754560,282066633215,343906493982,56771770269465,1690279775693,201821699638,556043091524,113236104938,17890360714,120647255065,171619825368
China Everbright (CN),CN,China,2019,717402467422,34402866803,79897330044,74607964917,17077319381404,750406623145,57511795885,354852758552,7452487795,593056710,12325206909,4210169721
China Guangfa (CN),CN,China,2019,416622834257,34219800333,78157460879,35859132987,10457109180141,323082027800,24500592773,581139697674,21486778600, -   ,904840432,7901223763
China Merchants (CN),CN,China,2019,1103193784870,98950427139,95459456294,197829025908,17871521930116,1692169896869,133524911073,238957218823,62561273880,5276987736,52043807639,62671233386
China Minsheng (CN),CN,China,2019,974246078060,82579176680,137832184556,192354916503,11860227043240,1280204845432,57008483237,494221468905,78672846955,6845470234,12451276765,36024314279
CIBC (CA),CA,Canada,2019,494766753915,37800368547,23426920128,118585903559,10836155304121,1331541307149,34860421979,3653438219266,15306675573,1190034936,117514154689,116871873555
CITIC (CN),CN,China,2019,996730112434,133839037987,136409288975,98942522794,23394397410271,1168565418970,58041263479,864470028208,70319146483,6853909592,49436518264,38991215945
Citigroup (US),US,USA,2019,2267643137032,175815381886,219282535173,522297489792,141089771238067,14313551718798,434090261730,31582513799163,93418194771,7065159338,854495282227,833506320146
Commerzbank (DE),DE,Germany,2019,499196737976,61935054065,74897665155,54767119952,24629592000000,288698722495,36992020000,7286131000000,11421502368,5440992731,198259000000,119024000000
Commonwealth (AU),AU,Australia,2019,661877469725,46992483584,58011940402,218177015854,8024174993662,324806747,854045495,2777641908189,33208104785,365114098,124140218246,137544605351
Crédit Agricole (FR),FR,France,2019,1676551855358,168304592462,167807914788,278997904654,38156727800003,3265481048192,111625274039,13857174203208,37206500047,9471836472,447102773431,355823824855
Crédit Mutuel (FR),FR,France,2019,769543285242,58887498541,66811901653,167545747000,6176934494683,281043869000,3445776000,800874955146,26594850217,7173625000,113895538000,95664603000
Credit Suisse (CH),CH,Switzerland,2019,847424849215,140615930664,151491429113,241123416115,29623232219909,1664790860007,189424996691,20943548377017,63482136714,14725907495,471991577127,333448730675
Danske Bank (DK),DK,Denmark,2019,451764867581,54603761090,39597671246,184390417362,878995919939,156111624548,24453991895,7803171403397,3750786330,947600886,163117179005,197148364257
DBS Bank (SG),SG,Singapore,2019,431535193115,74666781908,50484270928,85780183171,9645315256749,669992635706,21311490987,1438619549032,18894381038,508239031,210737763874,180695721312
Deutsche Bank (DE),DE,Germany,2019,1177917448666,134257464950,160853680953,138332908200,112319823000000,2967103061517,205185635436,31827440543067,63133845328,24075892864,653432000000,414414000000
DZ Bank (DE),DE,Germany,2019,467604988920,174240517613,185859058484,131129694419,5730300692209,1062563334321,23642130000,1300077830996,6915237465,3484160304,83958272806,37450957690
Goldman Sachs (US),US,USA,2019,1229074238986,214036852424,65514509528,359771230214,11309367100506,1057545843036,279285205641,30337350010594,98746661925,21064625246,373607797778,283691472332
Hana Financial Group (KR),KR,Korea,2019,377298830662,30873195620,26017833506,47587980039,822124570633,173346932373,22760514466,399728676656,24919353143,6470135364,29878765752,24329549929
HSBC (GB),GB,United Kingdom,2019,2470085456325,219287901251,245973541541,418800106865,86219023980403,6395554566851,193571497963,23372779064861,113394731841,11331377070,1504595462786,1090455703550
Hua Xia (CN),CN,China,2019,445668345733,26145003500,50481938463,74048718066,12150529881751,478094367067,23387635047,86158685452,19223323305,893165398,722204462,2229780703
ICBC (CN),CN,China,2019,4098715740188,256845486065,290693429163,615155080156,54692005143745,2115156492500,206630730642,916899035688,76180302922,25754235646,261040086787,272197046053
Industrial Bank (CN),CN,China,2019,1078231699750,137218882038,185658442620,174726037467,25726694906598,1583535520109,77825878580,930320232855,39745871182,3677386354,20998772035,45616284531
ING Bank (NL),NL,Netherlands,2019,1190775831055,145168753937,130521230838,197183843000,24828977522672,186581507000,38114290023,3833443000000,14866394918,4768000000,749175667000,617677322494
Intesa (IT),IT,Italy,2019,693221103093,149443524129,101312979894,125504365262,10661585874491,460851000000,24082964000,2362218092119,4564931479,3379280405,193628324473,130549063506
Itaú Unibanco (BR),BR,Brazil,2019,353038911287,16309901003,23203809138,177669735078,7525116244501,156901542961,23402552856,481810245501,35395260513,411010474,99967086752,47014152465
JP Morgan (US),US,USA,2019,3089248442401,262563646089,351493679920,744996439422,300422180006082,23945950686755,459283425342,38773310488188,194650169140,12055367635,580402350041,547294819329
Kookmin (KR),KR,Korea,2019,425255996710,47792159114,59124518659,59283470510,471487181379,273014687691,29826241624,283217840081,10158949308,4900943300,13639963451,9732376950
Lloyds (GB),GB,United Kingdom,2019,837043786106,67206068120,84519907143,190557138794,14298863386583,32796795949,29825357247,8147477668406,14406626297,6220028209,87133286322,86222606735
Mizuho (JP),JP,Japan,2019,1821369689438,116129294307,153629676981,214107634812,40984676167946,661878587667,125402607008,11208761022236,90731826453,18414481554,468920690987,329559180446
Morgan Stanley (US),US,USA,2019,1037073971929,183800071223,41198148480,287613494764,12703064803985,1872135481678,294362649117,28223643405527,140619547809,12333986114,297201353052,270624888746
MUFG (JP),JP,Japan,2019,2912368287475,221385083506,248602634864,244793810820,75499104552435,2073727814771,122031757369,13507450701915,146677490231,7689420587,857104313600,688556595704
National Australia Bank (AU),AU,Australia,2019,585114453585,63903907398,49688204448,206423221927,14157042210782,362479163964,2178445478,6634956168863,19726727455,456437697,138488803931,195863787921
Nomura (JP),JP,Japan,2019,439472218507,72427883091,68842332657,51599231680,21248118702183,264924852136,112246907808,22436857908760,32345555237,7783008395,234830760040,198977010633
Nordea (FI),FI,Finland,2019,539239912100,85662234000,38759002000,232866106000,19065574520000,711000000000,1148398000,6431272071000,11185032000,2690192000,375215199000,187396159000
Norinchukin (JP),JP,Japan,2019,878013358019,68459615206,41847686848,26171984981,3708289047253,44513471292,57569293,275852604880,117080449631,560784623,396613432768,133402205475
Ping An (CN),CN,China,2019,584123442812,31260317700,50993871067,111402028943,14269780782255,639604540867,31527779534,584880033917,32725366644,20339492347,3791428982,18085030795
PNC (US),US,USA,2019,437183948395,28140495818,20303097740,115281280939,3925448638282,85218038103,23605127293,383646074438,17640623109,4801217732,8280220759,3657646431
Rabobank (NL),NL,Netherlands,2019,612464500000,21824750163,48613594813,139379808167,23482839000000,3000000,5054000000,3564604000000,1553402086,1628000000,239980000000,97563000000
RBC (CA),CA,Canada,2019,1086535490639,85018654513,89215111776,257152723645,30899888693755,3005844282366,201012621003,13351085571349,43368291856,1759346429,480533467594,343873074425
RBS (GB),GB,United Kingdom,2019,767053596646,97802068645,123648330988,107563469680,36295429056473,30638222850,60217442410,15826717207974,8373295722,3001880583,247040432544,142127409503
Santander (ES),ES,Spain,2019,1578629432615,94245582783,157066965855,300052780446,12890123610889,540465527000,60856900000,5959149274000,15391664000,6331458000,1059742452000,731902257000
Sberbank (RU),RU,Russia,2019,469513531804,35051881840,15076554699,93994392169,1621961113163,5397655309,4271237834,148675670910,16910556754,19685145990,56681098598,20817281319
Shanghai Pudong (CN),CN,China,2019,1020641940410,84971804818,235016686765,180594079549,20386780755670,1667711270609,70354708734,581815228839,8184259313,8637938745,13823157078,31204654414
Shinhan (KR),KR,Korea,2019,447736992992,32865683302,63510895563,90210753565,1471278105639,150442732951,7096451990,188390486742,32309013838,3929908832,32030269612,32395877390
SMFG (JP),JP,Japan,2019,1958857573271,293792155135,189625029132,203429166435,34037826930989,89681056270,81673747237,7395582466057,87134880300,8441386141,487436968507,347869534615
SMTH (JP),JP,Japan,2019,487892259263,51270908989,57308943743,80896428041,7980715059011,2088587554715,83245854,1430723232850,28178003964,5492258173,69541647651,115862335504
Société Générale (FR),FR,France,2019,1210479245378,179963588368,242188471177,244516128011,32359412249380,2446714725910,111948291774,14256191359813,63472765241,10341000000,474710714282,384803661875
Standard Chartered (GB),GB,United Kingdom,2019,756905818328,125912783949,158628104873,99385051552,28716500203805,1245948442113,45337368705,6758083496906,57473731398,1377959765,559791703788,444821969047
State Bank of India (IN),IN,India,2019,500735260027,22125111796,41437979412,33974818169,2375063595258,91533983947,2571364355,126763615012,12946200442,1956153512,62049650630,65939614702
State Street (US),US,USA,2019,228879001081,32257020653,186515281299,41077158628,69931522969008,23317187328166, -   ,1391340211935,14492286809,2452376714,71382410543,101335232336
Toronto Dominion (CA),CA,Canada,2019,1059195799478,66320339025,23845629998,256575791228,19746967013966,304103826558,115293619284,11310447687209,76930951524,1842033155,460389302001,431222210616
Truist (US),US,USA,2019,495163076403,5365853659,6248887307,132614384910,1097887662515,104148121779,8181413566,248707495118,5359622575,3079935909,2766601389,2063379028
UBS (CH),CH,Switzerland,2019,823086735387,128260822319,210047698731,198474654631,21256385842224,3780368695936,87290369133,17659588749428,75182662311,6442429453,466051659689,377764833822
Unicredit (IT),IT,Italy,2019,1026433421700,206164538000,249507045000,129996116000,14366335874177,511379326000,67799804037,3366720299000,18454870000,6135748000,473348893899,436897584837
US Bancorp (US),US,USA,2019,539505518990,16136727792,9566494571,151507032232,8663584654213,1479282535244,27737226279,509008367484,16090439737,3325618658,10625778886,42933950510
Wells Fargo (US),US,USA,2019,2026237057350,170433780497,158060713913,489171611208,42085803193554,3146754732239,191843037219,10910394931177,114542223613,21627203135,152285917758,84121273816
Westpac (AU),AU,Australia,2019,615712547125,35100463969,61585667002,205236400554,10481433027353,23601125,252578931,4263750657237,18914973443,191896894,95009885063,56094380715
Wooribank (KR),KR,Korea,2019,323231417482,30523367002,46221145947,35597708735,1566763790587,126737453794, -   ,270933695114,5136677009,2311810684,22031245582,23604816328
ABN AMRO (NL),NL,Netherlands,2018,481832533815,65316746208,28935331208,111841200000,14035611017754,155902000000,9338076758,2464401145470,1829081000,1112000000,80319827404,65920445000
Agricultural Bank (CN),CN,China,2018,3126197465970,214077604789,188279056111,276638947594,31877108377046,1170790724656,76287605836,432463949068,28705818885,7461619826,58158004698,71841925537
ANZ (AU),AU,Australia,2018,588752236213,47106243950,76623221191,161247842080,24461771487551,4500616520,15787977796,5274687419991,17693883809,702836005,131017479650,151880209533
Bank of America (US),US,USA,2018,2505485238985,191524017376,108488209555,461616593667,94171461090640,2312501308945,422557205039,26828003480707,155620087262,10470742353,381655895015,251696069749
Bank of Beijing (CN),CN,China,2018,400192095747,23648575763,66871969902,68514135968,8081273367362,194152509673,18010311050,26913542083,4343447118, -   ,3082441844,2623977247
Bank of China (CN),CN,China,2018,2885438535524,252011277023,245286981533,417657471341,74219450350477,1227139355305,235906211122,1426438315122,119081430294,3665507562,436884827982,567658373520
Bank of Montreal (CA),CA,Canada,2018,567264667377,92320067503,48743172154,169433932010,16813878208785,132594040388,41818763629,3514511514602,31374919351,2307268306,237937499549,183668362727
Bank of Nova Scotia (CA),CA,Canada,2018,728522778732,81096529217,56290801182,174006576079,9647568039320,166779884032,32708326034,3267416157409,25123897397,591981275,279465025988,227359629421
Barclays (GB),GB,United Kingdom,2018,1291118016971,166891904805,180171708318,200138968781,43641920327527,110825796760,243238773375,31745140570688,71993797018,21153007720,748275630598,557290729052
BBVA (ES),ES,Spain,2018,714310914000,55107815186,67344597427,98877594306,7428518061002,702065324000,21181830000,3378884154000,10461611547,3084894000,347991773000,280896183000
BNP Paribas (FR),FR,France,2018,1879908455893,133982555774,190015370905,280159374570,45720812859672,5123081141496,177380361736,20734715755714,60101571306,11920035627,982599708401,901795941036
BNY Mellon (US),US,USA,2018,320984104651,67143231409,202100436585,75704803457,142560269801280,22869170294814,5676855893,911813973366,20615720514, -   ,88386026159,118121397324
BoComm (CN),CN,China,2018,1301379284987,167752051762,186236693825,136742618781,19330037932544,1131822076488,63344719678,428711290540,65945707965,3233990692,85081329621,94716511904
BPCE (FR),FR,France,2018,1189082755117,75714418895,111929108876,264662562283,23727203591566,84672229974,45741865085,4753561848029,39410410352,13956233922,202364536138,157526137290
Caixa (BR),BR,Brazil,2018,305980728808,7325008835,3180530753,123090951335,4090032341592,59990120756,578983471,1294377912,20202071092,25671661,595663366,2520205218
CaixaBank (ES),ES,Spain,2018,350942361373,18079373832,15118785075,49110743544,1665214966553,210821351000,71555416,504444862000,1708532932,1467690000,54849103000,33555785000
Capital One (US),US,USA,2018,374967789080,26667141472,1030567685,95344994715,719944953370,6114,2123894322,185283165851,5340531002,558879476,9219213969,726359825
China Construction (CN),CN,China,2018,3107240784251,170070810011,233383193959,287384440571,51944687915054,1278426022403,165205661333,677970695064,76186844630,13319457738,96618696070,161020703362
China Everbright (CN),CN,China,2018,645347104556,26922502373,76688295490,75060557924,12495736755139,683954873066,48223616395,423972268734,5858980950,444438803,9518402414,5172428487
China Guangfa (CN),CN,China,2018,354315873568,26609464651,94270808988,24111621533,9285996785245,330616501390,12149829129,595814717460,15649724874, -   ,1703744111,8678527301
China Merchants (CN),CN,China,2018,996510524364,80867290888,111500171859,138436972766,16928559448997,1568154188248,64772511076,774875115701,22777615611,3162245571,53178880474,57480032222
China Minsheng (CN),CN,China,2018,892943331165,68998465811,140252953522,138298662912,13043468425568,1106620872596,36627471539,430754277806,67937804228,1470203559,10226719904,28177622121
CIBC (CA),CA,Canada,2018,424272177560,33806203144,18431195773,111556687614,10081640040991,1187370073843,29154317210,2647951405009,21828249923,859295739,93230226221,102573052240
CITIC (CN),CN,China,2018,881432474356,106668538015,161217051450,36940229474,19263541290757,1071834985972,47683204208,507125729182,64268461648,6386458609,46187734112,36991184209
Citigroup (US),US,USA,2018,2188185937825,153462882023,233048034824,436916156998,138877623514819,12109078596868,370828820785,35409732734272,92190392969,9007860258,823074235417,789324017092
Commerzbank (DE),DE,Germany,2018,491115447347,79041578895,83563538116,59196776082,27433826836333,276576000000,41584000000,4416855504939,11743289518,9721084581,209770000000,114404000000
Commonwealth (AU),AU,Australia,2018,644986682747,47943279875,53020961746,223117139210,8734148577124,342786683,901356350,2955868062469,31392725013,82614057,124464858130,140452527665
Crédit Agricole (FR),FR,France,2018,1610995747837,161300066232,155856798047,259193333965,30232585314749,2633000000000,87223395248,9739340284707,27437827138,8352935750,427580853058,321816300283
Crédit Mutuel (FR),FR,France,2018,744847573468,56896684516,60677542447,155059186664,5824672850680,256595297473,2268273000,686228944596,25862113553,7092150549,104802997718,87555128179
Credit Suisse (CH),CH,Switzerland,2018,789669091786,128790487110,139231520027,193467033353,31044830048528,1424255035194,177037891468,24765379346340,43424438703,14289644149,442096902777,340578578223
Danske Bank (DK),DK,Denmark,2018,440927830765,47257241439,39697079153,167816077625,774301552586,144692726546,28769434654,5949500873698,483441135,829884963,168246487545,204973550770
DBS Bank (SG),SG,Singapore,2018,395472807389,70109770792,48224837507,72442975159,7922129728262,598033535425,12962601161,1306754537888,15095888654,488743506,197327800618,171265258210
Deutsche Bank (DE),DE,Germany,2018,1286322136568,177865079062,199029222955,148522173666,77681358000000,2672507661887,174612000000,35232504646612,104950485156,24019738818,649514000000,462414000000
DZ Bank (DE),DE,Germany,2018,442617677937,159074097618,172964610252,109010013480,7108867003883,940078629344,20964000000,1304734775583,3523389931,3624585432,80682825713,34599770084
Goldman Sachs (US),US,USA,2018,1176995981974,208130130906,65021834030,335581659229,10894724012292,895648907872,283763318643,32048877714034,77997379876,20149344969,378772925584,277488209475
Hana Financial Group (KR),KR,Korea,2018,347747724580,27388239409,24994767806,46662104834,755986879081,160384289612,13033752166,360541638246,20265783539,4263900857,26181534765,22207738139
HSBC (GB),GB,United Kingdom,2018,2313302239469,216663360763,242376509869,383517450397,95055985502371,6462416337542,174440989009,27933268398043,89646974468,12473827942,1434764134166,1240509036965
Hua Xia (CN),CN,China,2018,387787559756,24001727055,47005879473,62749298665,11917992748515,360398599510,19008266635,127639395550,8497542921,100443169,626023799,2204924390
ICBC (CN),CN,China,2018,3763843052223,218133609880,230605402181,501231857271,52493477074805,2069988995123,160859830273,905511011337,54933203488,26609693948,239406357673,255319679470
Industrial Bank (CN),CN,China,2018,967368326185,58047065883,196914149335,133867559003,22442410826778,1473832464984,60279488748,770703617227,95060053591,3895188648,16065906667,36156032203
ING Bank (NL),NL,Netherlands,2018,1167968007099,124217984157,131864607912,193798073000,23146669450934,163879899000,38244355430,3625195000000,18100775980,5387000000,736935365000,620389195000
Intesa (IT),IT,Italy,2018,682434220218,140513988309,107461278767,120068565021,11019148302431,357973478000,17557971000,2454741914471,4380765758,3212588089,169300741531,117322745671
Itaú Unibanco (BR),BR,Brazil,2018,338970001574,16443955454,18852033222,158240245867,8226648876866,143302471422,13534947033,309436768333,24078019333,669316145,93437027368,38643442801
JP Morgan (US),US,USA,2018,2896599125262,272351964936,330073362289,575332750818,280045416460865,20254483833174,393643667935,39515455876427,194578165846,14991266368,615407859970,554450654758
Kookmin (KR),KR,Korea,2018,396714665849,37857764815,44677495166,62117015714,472281761022,240927612940,33350269710,291481902960,8836042312,3268194243,11007752774,5108295670
Lloyds (GB),GB,United Kingdom,2018,806619900759,61036521958,87908734174,169114507019,15615719983265,29794417173,32924552550,6744582069405,14467932877,5223972364,46440029949,84667926153
Mizuho (JP),JP,Japan,2018,1667829745659,103008707250,141782351094,217165508172,36533835261718,594318754929,125266395981,10528829433490,80042402587,15423480634,398881930321,254924524263
Morgan Stanley (US),US,USA,2018,962635720067,169303056688,34147598237,259715283719,11279537112546,1513315283124,250365065383,26665032301745,119851528327,13110043662,291465502045,251690829575
MUFG (JP),JP,Japan,2018,2628482541626,213543274600,244759796067,256024652600,64729062332266,1904152433755,117845992984,11825657439943,144719549100,9712125031,774328402731,673591426402
National Australia Bank (AU),AU,Australia,2018,558554434581,57695375042,53094167893,194470036285,13996467933004,382870250842,2848803865,4594799997826,13519047465,562119375,130115242932,181859650573
Nomura (JP),JP,Japan,2018,445638660079,109883881282,80841476183,46194595810,16138351888109,254229646568,111525756577,17515931660519,36643142803,5975787870,216901250290,148700531534
Nonghyup (KR),KR,Korea,2018,308720441573,58815784470,13284394068,23431638550,373004422207,19448389925,20604896232,204108645951,8698594026,3653298045,6291308700,7552552292
Nordea (FI),FI,Finland,2018,532583757400,96462893000,49142636000,229168714000,20223414785000,743000000000,20598007000,6453355068000,23715607000,2191937000,371220881000,200723366000
Norinchukin (JP),JP,Japan,2018,858194054762,67302220393,40319055429,16248215268,5963527476073,45030573694,157091768,259160065711,122609302433,9628398377,415255544121,137834168294
Ping An (CN),CN,China,2018,489217101833,34834741614,58266122094,71267633330,11834569473567,709578031072,22388668167,467853847479,13323699057,8026056843,5437204065,22994262070
PNC (US),US,USA,2018,398970101033,25561231429,14193449775,77503463719,3200490828174,79006599962,24673362434,334841047876,15728295189,5376745849,7770305673,3406986898
Rabobank (NL),NL,Netherlands,2018,610102300000,23435623161,45621000000,142160000000,25856281732881,18000000,8540380000,3406823000000,2367000000,2354000000,219309000000,111841000000
RBC (CA),CA,Canada,2018,940364258753,80815341675,90342291002,226588274131,27502454744360,2731364364260,157636736232,11193798934434,35792706814,1633405319,392369263703,283041575846
RBS (GB),GB,United Kingdom,2018,731024905219,145778473747,114728335410,92090730598,29183631620742,24756017120,57936570028,13787008385053,6599728922,3689088124,222623560709,174411471260
Santander (ES),ES,Spain,2018,1523092142180,85126258903,147612382445,289325629841,11748002885737,1119415000000,54227890194,5786566600000,15502450016,4484347000,972514264000,694414454000
Sberbank (RU),RU,Russia,2018,442871936740,36328031664,17789558238,65603465033,1253676496420,3469848254,2097464310,53788920255,13776526943,13984768016,50976411295,46879330891
Shanghai Pudong (CN),CN,China,2018,883526650706,76048431426,226334889323,143072977406,16997311338128,1514565916145,52939137486,457217052984,4288580479,8538050344,11868674730,26346840142
Shinhan (KR),KR,Korea,2018,405718494417,28799943354,54537125925,77628516999,1438519244642,124209596788,7405348050,179270154483,27152357810,3717527659,26774928410,26043076561
SMFG (JP),JP,Japan,2018,1754921076538,255988898057,148770509252,224022610125,27265614383759,91113661870,72699319747,6183146228751,80503369242,7973499776,414682754950,280143033070
SMTH (JP),JP,Japan,2018,478773672654,40089421791,64984509862,84902943450,7121916221308,1829596875526,122614217,1520254635282,29495294423,5590671138,68291152515,108870037927
Société Générale (FR),FR,France,2018,1219284406684,160711489137,228799458047,225377482829,29234345941316,2430552515983,98994858240,13190776665758,39330566493,8462000000,480074926989,423900462035
Standard Chartered (GB),GB,United Kingdom,2018,700945375298,123584539531,139953974540,90400572808,28056139604685,1023779501703,37130567668,6316958075602,41061525168,1563318777,531193012848,475351091477
State Bank of India (IN),IN,India,2018,517294025178,21832658950,27870943139,42045202258,2437932870815,68740894566,472931081,15452512267,4458433363,395121152,53073592512,61000271391
State Street (US),US,USA,2018,218993786534,24221813962,143238509976,72919243633,70462580777884,20303517137081, -   ,1243524552248,12819258509,1124035807,77149344942,112089082916
Toronto Dominion (CA),CA,Canada,2018,931005886107,52706958797,28683692517,232716339664,18435781981301,263357799972,89825817136,8575835985172,59822774538,2148029478,393786691494,363455205428
UBS (CH),CH,Switzerland,2018,802095141178,125529112812,193373395880,205422480252,20703254567160,3245313657383,82141721607,15544683247808,82001347156,5822303927,468854594490,357729883588
Unicredit (IT),IT,Italy,2018,1001572887900,175631888622,233192867792,105202978000,13080299283058,513304080000,56234862616,2632665501000,11961709000,5773396000,447613060000,398671974000
US Bancorp (US),US,USA,2018,503191964826,12673362439,12297816588,135834061071,7989504799698,1326394759195,23810480338,356132750923,11372925759,2946724889,9465502179,36019213957
Wells Fargo (US),US,USA,2018,1924289554108,175195879393,142674226133,457334704586,42509502526533,2805411075523,212585338764,8799190934685,118253427018,22113537107,136830567621,89683932708
Westpac (AU),AU,Australia,2018,577957848051,26671838156,70107679950,197520651222,10888375588222,301683107,250308261,2696424278533,19523427856,566096561,79407733303,53913169530
Wooribank (KR),KR,Korea,2018,307614388703,23825314022,43878197567,38706199888,1677658898117,111174453136, -   ,243577918471,4393543932,1866395307,18629718037,19705686335
ABN AMRO (NL),NL,Netherlands,2017,487465960582,75132811692,41433686389,113618221083,10315795000000,187153956713,11873000000,1244620000000,1888000000,1343729326,119217000000,119705749735
Agricultural Bank (CN),CN,China,2017,2921310097165,195398677024,164696808983,237645050266,27783569678291,1318889727461,41957351747,303168597249,27118978544,14988065162,53443954635,69602788096
ANZ (AU),AU,Australia,2017,592452944295,43599025214,73688488253,173735175191,19800496431082,7132151697,21552130836,5503457901219,19243711705,89274078,126644520271,173325480578
Banco do Brasil (BR),BR,Brazil,2017,288632947568,13682715894,7808428426,79103270262,5541290837660,193074102010,16332370631,7994956530,9289466053, -   ,5834491687,24388601292
Bank of America (US),US,USA,2017,2363613774207,202918369006,97789543880,505616609583,86661390793142,2367569414996,459615609009,24284897018174,162746602150,10764612688,316750604453,271344951165
Bank of Beijing (CN),CN,China,2017,342344074771,30083687735,46083389794,72696622060,6330916783509,238909589207,13662677449,3963457443,6112521498,640664,1443335307,1896277226
Bank of China (CN),CN,China,2017,2684310774486,221160177468,200186696742,360661209963,64611610419615,1221642702297,175497440667,1305589776576,97581857470,1148539720,400543919627,517843721201
Bank of Montreal (CA),CA,Canada,2017,528615664473,89487979874,45259908410,158466448705,15774207506189,118372232141,45674437126,3016563599883,30775150965,1182309240,204612391685,165720995999
Bank of Nova Scotia (CA),CA,Canada,2017,708492710321,71408727700,53462525847,185696949058,9085397953982,168059609602,47188260125,2836795473763,25889090953,510525316,255643912374,215213714653
Barclays (GB),GB,United Kingdom,2017,1282327017995,167993602961,186249993478,204110536208,44140426420855,114566685094,276942382514,27501535119147,89048895761,17694397171,752595155825,558075132802
BBVA (ES),ES,Spain,2017,719400708000,44588207570,72801278333,112103469000,6524536922453,786157484000,30373629774,2682654811000,8629686280,1291858000,356646991000,330276644000
BNP Paribas (FR),FR,France,2017,1819746235167,121491735000,172401110000,292930203000,41862460236912,5411303453000,200275589000,20262889412000,66460919000,9519148000,942044529000,871025901000
BNY Mellon (US),US,USA,2017,317213374402,61113149324,204138247268,75193029251,144448471578162,22161594258675,6071875259,820338530638,18809305424, -   ,87686984056,132057867061
BoComm (CN),CN,China,2017,1247375477540,147031995339,218576368993,150047119877,17182042476477,1054254521963,111600131908,410734493378,45576293161,1162805596,81722324956,81451256627
BPCE (FR),FR,France,2017,1183741740386,67100575257,111571614995,265030850216,20522902369567,89874073000,37832427795,5051948000000,33891320323,13409644000,183554506918,166076959454
Caixa (BR),BR,Brazil,2017,352124384920,13267318188,4161617213,139159855098,4638979235525,60145162813,215771351,1694553906,21075669639,20778792,337531526,3138639779
CaixaBank (ES),ES,Spain,2017,350133701450,8788156764,25407952527,54958968035,1542047294031,195249221069,508779833,466889451000,3141709462,744638000,48835854000,9626604031
Capital One (US),US,USA,2017,352323679573,24736694733,1360518636,111925258044,653912437952,4238226465,2792505628,163665578220,4425714999,778489952,8854331692,878268990
China Construction (CN),CN,China,2017,3019453076446,139323953006,216086927656,278328454164,43250530917077,1206521166257,146282962019,746131284119,75628217335,17726906598,86783443862,150962060248
China Everbright (CN),CN,China,2017,601964379117,30527252380,88540268306,81981562073,9271035163220,667274231771,27215416915,95111852187,8067044607,1921993,6675588238,3767202998
China Guangfa (CN),CN,China,2017,311952045378,24229917713,83260397654,19387116221,7912069704782,297120470186,22788555150,339309235453,13865863152, -   ,2146157125,9733214931
China Merchants (CN),CN,China,2017,910128849419,54782886476,119310203978,134296394937,14313480625133,1539031479716,59041781575,447357131396,22237130213,280482804,47564750359,62160360753
China Minsheng (CN),CN,China,2017,839412093714,53869492756,150861549877,118105058027,13031790158282,991703653289,31206370732,252011685446,30367484976,656937112,11223627342,28864711612
CIBC (CA),CA,Canada,2017,410959937901,28702704289,19215197145,108114660498,10639629268879,1160893010957,30202962284,2265106170887,26207608206,1592184320,91676252367,101899316396
CITIC (CN),CN,China,2017,837356936387,86563658753,150345772338,32678745288,16553102281659,1032215877119,53213572671,492155542862,63218902365,10763159,37170988825,32427557076
Citigroup (US),US,USA,2017,2062756023915,152079546370,186165263031,452548986814,136198463241694,11937687815392,401058117151,32637678639036,112476444569,9221212372,753759692996,714733594447
Commerzbank (DE),DE,Germany,2017,475579398326,76084854866,82554506978,66885634139,25733367812578,317455000000,39661000000,3962698000000,17274033249,5519660311,184011000000,110015000000
Commonwealth (AU),AU,Australia,2017,672565106249,48721953285,55641269328,237233617595,9182310606694,366376612,785442863,2357024202019,34164146990,990486120,126073243771,152286589253
Crédit Agricole (FR),FR,France,2017,1493620320004,166024656977,140370040348,247476483011,27393632487020,2656000000000,84496550588,12131158746142,22852906274,4789221642,377112326925,293870500404
Crédit Mutuel (FR),FR,France,2017,700607187364,53058220073,59484337404,146960469899,5857924741471,265598383955,2446057000,450836065134,29409494175,6872123184,94417224245,84037941036
Credit Suisse (CH),CH,Switzerland,2017,791246453634,138572893529,163607930276,227250042738,35801305761325,1434975217977,180948555811,25353764314944,50272602976,13956588618,444072808087,324567595298
Danske Bank (DK),DK,Denmark,2017,461768070729,47487273302,33216027173,194480383096,653220864460,152881973329,20795578240,5058400395841,670123173,947091300,181264893260,208437588740
DBS Bank (SG),SG,Singapore,2017,359904460622,67006539217,49524518460,68397264015,6072403646361,623936898819,17210523534,1220038067617,11539565649,60534199,173508856999,145571549719
Deutsche Bank (DE),DE,Germany,2017,1409118447862,227571426834,279086611818,178930174346,96093441395062,3118809256991,249814100000,41873167563545,161059300447,21185827236,695472000000,544092000000
DZ Bank (DE),DE,Germany,2017,432903495944,152338564500,179464820915,108657389586,6692884061164,936047503868,17105330720,1133588911338,17217655806,3421578033,79266313334,31519626256
Goldman Sachs (US),US,USA,2017,1121977820160,245683315216,68240640359,347473526151,9974922869584,862467272395,290970566103,31665892597382,85328941865,16843992325,359263737105,261677645238
